Sector,NOC,Employment
Agriculture,80020,447
Agriculture,84120,97
Agriculture,85100,45
Agriculture,80022,34
Agriculture,18,26
Forestry,84111,96
Forestry,82010,81
Forestry,22112,74
Forestry,83110,63
Forestry,84110,57
"Fishing, hunting and trapping",83121,114
"Fishing, hunting and trapping",84121,111
"Fishing, hunting and trapping",74203,40
"Fishing, hunting and trapping",95107,17
"Fishing, hunting and trapping",73300,14
Mining and quarrying,73400,132
Mining and quarrying,83100,112
Mining and quarrying,72400,75
Mining and quarrying,64409,51
Mining and quarrying,73300,49
Mining and quarrying,82020,49
Utilities,92100,134
Utilities,92011,88
Utilities,92101,56
Utilities,72203,46
Utilities,21310,30
Construction,72310,1371
Construction,75110,1229
Construction,73400,586
Construction,72200,487
Construction,73300,450
Manufacturing,95107,516
Manufacturing,94142,436
Manufacturing,90010,362
Manufacturing,73300,351
Manufacturing,95106,309
Wholesale trade,60020,326
Wholesale trade,64100,143
Wholesale trade,64101,138
Wholesale trade,73300,131
Wholesale trade,62100,123
Retail trade,64100,3390
Retail trade,60020,3123
Retail trade,65100,2006
Retail trade,65102,977
Retail trade,62010,370
Transportation and warehousing,73300,2336
Transportation and warehousing,74101,184
Transportation and warehousing,70020,155
Transportation and warehousing,75101,148
Transportation and warehousing,73301,107
"Finance, insurance, real estate and leasing",63100,780
"Finance, insurance, real estate and leasing",63101,751
"Finance, insurance, real estate and leasing",64400,590
"Finance, insurance, real estate and leasing",11102,569
"Finance, insurance, real estate and leasing",10021,399
"Professional, scientific and technical services",41101,468
"Professional, scientific and technical services",11100,356
"Professional, scientific and technical services",21300,333
"Professional, scientific and technical services",18,328
"Professional, scientific and technical services",12200,320
"Business, building and other support services",64409,366
"Business, building and other support services",65310,350
"Business, building and other support services",64410,259
"Business, building and other support services",65312,227
"Business, building and other support services",85121,84
Educational services,41221,1612
Educational services,43100,1321
Educational services,41220,901
Educational services,65312,568
Educational services,41200,548
Health care and social assistance,31301,3954
Health care and social assistance,33102,3765
Health care and social assistance,32101,1247
Health care and social assistance,44101,1223
Health care and social assistance,42202,1201
"Information, culture and recreation",65211,141
"Information, culture and recreation",54100,141
"Information, culture and recreation",85121,126
"Information, culture and recreation",64409,124
"Information, culture and recreation",50012,100
Accommodation and food services,65201,1281
Accommodation and food services,60030,1049
Accommodation and food services,63200,903
Accommodation and food services,62020,375
Accommodation and food services,65200,358
Public administration,11200,899
Public administration,43204,696
Public administration,42100,532
Public administration,12104,526
Public administration,13100,525
Other services (not elsewhere classified),63210,990
Other services (not elsewhere classified),72410,955
Other services (not elsewhere classified),41302,480
Other services (not elsewhere classified),63211,356
Other services (not elsewhere classified),18,278
